,Names,Values
380,cassandre,14
381,lecointre,8
382,daillet,22
383,montagner,10
384,plenel,14
385,cathelat,3
386,rugy,24
387,fauci,40
388,garrido,20
389,asselineau,26
390,abecassis,2
391,aubry,31
392,crouhy,2
393,bernalicis,5
394,yazdanpanah,2
395,encel,22
396,apolline,14
397,simmons,15
398,blinken,5
399,cohen,44
400,lemaitre,6
401,schroder,4
402,fillon,41
403,meurice,15
404,charline,23
405,dolto,9
406,posternak,4
407,lapierre,20
408,magneto,4
409,thuillier,4
410,farrakhan,3
411,descartes,4
412,rabelais,4
413,morandini,12
414,bouteille,4
415,coluche,23
416,desproges,5
417,aleveque,2
418,judas,29
419,langlois,14
420,spadafora,2
421,noriega,40
422,harari,19
423,torrijos,2
424,eilsar,2
425,mike,18
426,tudieshe,2
427,raissi,36
428,ahmadinejad,5
429,schuman,7
430,gaulle,55
431,bainville,5
432,finkielkraut,78
433,herzl,11
434,enderlin,4
435,begin,14
436,schneerson,5
437,bennett,9
438,walt,8
439,mearsheimer,3
440,mandelker,3
441,rosencher,4
442,pernoo,4
443,touvron,6
444,dizier,10
445,rivasi,6
446,mucchielli,2
447,eriksen,2
448,lalanne,5
449,salomon,64
450,henrioncaude,5
451,kahn,52
452,henrion,8
453,serge,19
454,bouffard,6
455,moualek,5
456,guigue,3
457,glucksmann,3
458,keller,64
459,fourest,25
460,verdez,9
461,nono,59
462,alexis,12
463,klarsfeld,13
464,corbiere,19
465,guillainbarre,2
466,chouard,86
467,christophe,2
468,pecresse,23
469,cedric,22
470,bourguignon,2
471,chalencon,21
472,storti,8
473,camelia,10
474,holiday,2
475,enthoven,33
476,diallo,42
477,rokhaya,7
478,rokha,3
479,laughland,4
480,zelensky,11
481,saakachvili,2
482,slotkin,4
483,morillot,4
484,floyd,46
485,cazarre,2
486,madoff,6
487,wiesel,2
488,fontaine,14
489,spengler,2
490,abraham,13
491,olorunnipa,2
492,ardisson,56
493,cyril,10
494,schiappa,38
495,azoulay,2
496,pourhiet,3
497,boustany,13
498,annemarie,2
499,balzac,8
500,soljenitsyne,4
501,corday,2
502,bensussan,10
503,monsieur,32
504,zagury,3
505,sionarde,2
506,mabrouk,6
507,elisabeth,5
508,close,17
509,glenn,21
510,portolano,17
511,ghislaine,6
512,deby,20
513,idriss,8
514,petrov,10
515,boshirov,2
516,napoleon,52
517,houellebecq,4
518,lumieres,2
