,Unnamed: 0,mara,kone,ouattara,tchicaya,macron,bedie,nguessan,ouane,ministre,barkhane,bazoum,mamoun,cisse,petronin,keita,dupuy,ibk,abba,tebboune,chouiter,drian,ghaly,zoubir,esper,porter,guterrez,mahomet,paty,majid,erdogan,soro,kamto,biya,eboutou,dicko,guei,ahmed,ndadaye,buyoya,ndayishimiye,nkurunziza,lacaze,derrar,cherif,ramdane,bezos,musk,cavusoglu,diallo,desfourneaux,ndaw,traore,prao,cedeao,tall,wade,dieye,issoufou,kacimi,volpe,hollande,toure,bictogo,bigot,albert,coulibaly,gadio,assimi,sidahmed,diabate,gbagbo,gourevitch,poutine,soufi,sandaga,moreno,madougou,boukadoum,beau,haftar,sarraj,biden,irini,yabi,center,soumare,diop,trudeau,coulon,dembele,zoundi,lounnas,salah,normand,bret,togolais,gnassingbe,zemmour,trump,annabi,nasr,droukdel,anticov,darmanin,khelifi,cesar,bozize,sanoussi,washington,tchadien,ebogo,deby,lamamra,locht,goossens,wilmes,hogard,takouba,abderrahim,blanchard,bakir,kadhafi,boughrara,nguyen,algerien,johnson,afrikajom,ferdiani,rougier,sylla,sonforget,sangare,sidibe,trinquand,malien,nubukpo,alsissi,freund,bourita,bissuumanifestants,bissuumanifestations,francais,august,ghazouani,bissubamako,cherfaoui,bokassa,gaulle,sanogo,bakayoko,bogdanov,soleimani,floyd,adjamagbojohnson,djossou,dodor,lecointre,roussy,hassine,abdoulaye,peuls,varenne,bouteflika,sambe,guirassy,abdallah,belkhayate,jadot,alioune,mankeur,freeland,vicepremier,sarkozy,bendjelloun,ziguele,damiens,koalaga,baptiste,boubacar,fabius,antil,kebbab,somdah,kabore,saied,chengriha,mattia,hamel,diagou,roukiatou,klohi,kakry,arafat,kobres,labeviere,qaeda,traboulsi,compaore,achille,blaise,mariko,diawara,itno,guaido,maduro,walker,dietrich,gompertz,pen,syllaune,mahdi,bello,sputnik,thiam,fakoly,tenkeu,muller,lavrov,jhinaoui,jammeh,kodheli,alliotmarie,leyen,dosseh,olympio,sawadogo,sithole,louadj,benyahia,hamlaoui,sidaoui,blinken,melenchon,mizab,barrow,mackinder,vucic,ahouantchede,kinda,blasco,sahraoui,salgado,lahlou,doumbouya,beassemda,laichoubi,nafaa,taama,saillans,huyghe,ivanov,khouma,raoult,ouaddou,moderan,boudalia
10,bazoum,1,0,0,0,1,0,0,1,0,1,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,mamoun,1,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,cisse,3,6,1,0,3,2,0,1,2,2,0,0,6,1,7,1,10,1,1,0,0,2,0,0,0,2,0,4,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,2,0,2,0,0,1,1,0,2,3,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,4,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
13,petronin,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,keita,5,5,0,0,12,0,2,3,4,5,0,0,7,1,14,3,15,1,0,0,0,3,0,0,0,0,1,5,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,0,2,2,0,0,1,0,0,0,2,0,0,5,0,2,1,3,0,0,0,1,2,1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,1,1,1,0,2,4,0,0,2,0,0,1,1,0,0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,4,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
15,dupuy,2,6,0,0,11,1,0,1,0,2,2,0,1,0,3,6,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,ibk,1,5,1,0,0,1,0,2,2,2,0,0,10,0,15,5,6,1,0,0,0,1,0,0,0,0,0,4,1,0,0,1,1,1,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,1,1,1,3,0,0,0,2,0,0,3,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
17,abba,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,tebboune,1,0,4,0,16,1,0,0,1,0,0,0,1,0,0,1,0,0,6,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,chouiter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
