,Names,Values
371,legrier,4
372,thabet,4
373,nadot,5
374,votel,2
375,chalencon,3
376,ngrebada,5
377,shuang,2
378,bahman,2
379,ischinger,2
380,haley,7
381,kazagui,7
382,mahamat,11
383,boyard,2
384,kouranov,9
385,langlois,5
386,obiang,5
387,fayulu,2
388,molina,9
389,monusco,15
390,lacroix,11
391,palma,24
392,roosevelt,2
393,rehanna,2
394,eudeline,3
395,haniyeh,4
396,peresvet,3
397,bayraktar,6
398,muhll,2
399,poseidon,2
400,fofana,2
401,ouane,7
402,rota,8
403,ethiopien,2
404,nakhaleh,2
405,jouyet,4
406,soros,4
407,ndaw,2
408,dussopt,4
409,itno,16
410,chunying,4
411,kessy,2
412,heilbronn,2
413,birahima,2
414,quignolot,2
415,franceschi,2
416,kabore,44
417,zulesi,2
418,gorchkov,2
419,khanzadi,10
420,montesquieu,2
421,koffler,7
422,carter,2
423,ociepa,2
424,mcafee,7
425,asselineau,8
426,lalanne,2
427,hamza,2
428,solage,7
429,molotov,3
430,chassaigne,2
431,lamrani,2
432,dehghani,2
433,bazoum,26
434,amiral,2
435,monafeghine,3
436,haitien,7
437,bennett,8
438,mekele,8
439,belooussov,2
440,rajoelina,12
441,njoo,8
442,chassang,3
443,covid,10
444,global,3
445,doumbia,10
446,miningou,4
447,prometheus,2
448,asecna,2
449,barre,14
450,lavrentyev,4
451,yahaya,2
452,klp,6
453,lapid,12
454,bourita,4
455,alphonse,3
456,hyten,4
457,lamballe,3
458,daszak,2
459,komissarov,2
460,geneste,6
461,hervouet,2
462,rice,5
463,zakharova,11
464,hamilton,2
465,dondra,2
466,rubuye,2
467,rupert,2
468,shekau,4
469,julani,4
470,harrigian,2
471,dorsey,2
472,chengriha,9
473,construire,2
474,mashreq,2
475,percebois,5
476,qamati,7
477,vandier,5
478,sardasht,2
479,evertsen,2
480,minhad,2
481,hugon,6
482,mandoukou,2
483,sullivan,2
484,kafolo,9
485,monteiro,2
486,amirabdollahian,10
487,aukus,26
488,lecornu,2
489,irani,11
490,migus,5
491,czulda,2
492,diop,9
493,feltman,16
494,alburhan,12
495,perthes,4
496,zemmour,33
497,taubmann,2
498,breiki,4
499,hendrix,2
500,francoisxavier,3
501,ndayishimiye,11
502,muyaya,2
