,Président de la Cour suprême,Moussa Mara,Alifa Habib Koné,Alassane Ouattara,Jean-Claude Félix Tchicaya,Ouattara,Emmanuel Macron,Président,Henri Konan Bédié,Pascal Affi Nguessan,Président de la République,Moctar Ouane,Premier ministre,Adal Ag,Barkhane,Mohamed Bazoum,Hama Amadou,Yéli Monique Kam,Abdelali Mamoun,Soumaïla Cissé,Mme Sophie Petronin,Ibrahim Boubacar Keïta,Emmanuel Dupuy,IBK,Seidik Abba,Emmanuel Sogadji,Président Abdelmadjid Tebboune,Lamine Chouiter,Jean-Yves Le Drian,Iyad Ag Ghaly,Al Mourabitoune,Yahia Zoubir,Mark Esper,Geoff D. Porter,Esper,M. Le Drian,Smaïl Chergui,Antonio Guterrez,Macron,Ebrahim NorooziÀ,Ebrahim NorooziLe,Florent Aydalot,Mahomet,Samuel Paty,REUTERS,Majid,Léon Tolstoï,Président Erdogan,Guillaume Soro,Aly Tandian,Maurice Kamto,Paul Biya,David Eboutou,Aristide Mono,Mahmoud Dicko,Choguel Maïga,Gouantoueu Robert Guei,Fawaz Ould Ahmed,Mimi Ould Baba Ould Cheick,Melchior Ndadaye,Pierre Buyoya,Sylvestre Ntibantunganya,Évariste Ndayishimiye,Buyoya,Pierre Nkurunziza,Youssouf Toloba,Julien Lacaze,Iyad Ag Ghali,Mustapha Derrar,Ramdane Hamlat,Abdelhamid Larbi Chérif,Ramdane,Jeff Bezos,Elon Musk,Tesla,Mevlut Cavusoglu,Cellou Dalein Diallo,Alpha Condé,Cellou Dalein,Emmanuel Desfourneaux,Bah N'Daw,Amadou Traoré,Séraphin Prao,Président Ibrahim Boubacar Keita,Maurice Paulin Toupane,José Mario Vaz,Cedeao,Mountaga Tall,Ekoué Gada,Abdoulaye Wade,Macky Sall,Président sénégalais,Dr Cheikh Tidiane Dièye,Pr,Sall,Mahamadou Issoufou,Hassan Kacimi,Arnaud Volpe,Olivier Dufour,Moussa Traoré,Christophe Basse,Gilles Huberson,Maria Balareva,Président Alpha Condé,Domingo Simoes Pereira,Vincent Nouzille,Françoise Dumas,François Hollande,Florence Parly,Mamadou Touré,Eugène Aka Aouélé,Hygiène publique,Adama Bictogo,Alain Richard Donwahi,Laurent Bigot,Mamadou Sy Albert,Alioune Tine,Koumba Coulibaly,Paul Atanga Nji,Cheikh Tidiane Gadio,Louise Mushikiwabo,Cheik Tidiane Gadio,Egountchi Behanzin,Brema Ely Dicko,Bah N’Daw,Assimi,Hama Ag Sid’Ahmed,Sidiki Diabaté,Goïta,Khaled Igué,Laurent Gbagbo,Steve Beko,Stéphane Kipré,Jean-Paul Gourévitch,Vladimir Poutine,Abdelmadjid Tebboune,Abdelkader Soufi,Me Sidiki Kaba,Président Ibrahim Boubacar Keïta,Mohammed VI,Dicko,Jemal Taleb,Olivier Ginolin,Kandia Camara,Gbagbo,Giuseppe Conte,Pedro Sanchez,Président Keïta,Sokhna Fall,Sandaga,Andy Fila,Élisabeth Moreno,Reckya Madougou,Rose Ossouka Raponda,Charles M’Ba,Mamadou Lamine Diallo,Président Macky Sall,Sabri Boukadoum,Tojohasina Razafintsalama,Jean Yves Le Drian,Nicolas Beau,Haftar,maréchal Haftar,Sarraj,Bill Gates,Joe Biden,Irini,Arturo Varvelli,Président IBK,Gilles Yabi,Afrikajom Center,Oumar Abba Soumaré,Ndeye Coumba Touré Kane,Pr Touré,Abdou Diop,Justin Trudeau,Jocelyn Coulon,Boubou,Adama Fomba,Patrice Talon,Moussa Timbiné,Clément Dembélé,Maureen Magee,Julie Belanger,Chris Nikoi,Mamadou Diop,Tanwalbougou,Hassan Saoudi,Mohamed VI,Jean Zoundi,Sibiri Jean Zoundi,Djalil Lounnas,Ahmed Gaïd Salah,Lounnas,Nicolas Normand,Didier Le Bret,Kévin Clément,Charles Prats,Agathon Rwasa,Evgeny Korendyasov,Evariste Ndayishimiye,Président togolais,Faure Gnassingbé,Éric Zemmour,Donald Trump,Biden,Abdou Khadre Lô,Sophie Pétronin,Abou Oubaida Youcef el Annabi,Wassim Nasr,Abou Naamane Chenguiti,Ag Ghali,Droukdel,Anticov,Gérald Darmanin,Darmanin,Abid Khelifi,François Gouyette,Yark Damehame,Antoine Lekpa Gbegbeni,Tarek Hafid,Abdelmalek Droukdel,Zemmour,César,François Bozizé,Kag Sanoussi,Éric Yombi,Bozizé,Kabiné Komara,Washington,Peter Pham,Président tchadien,Frank Ebogo,Idriss Déby,Boko Haram,Ramtane Lamamra,Cheriff Sy,Iyad Ghali,Jean-Paul Mira,Camille Locht,Abdoulaye Diouf Sarr,Rokia Traoré,Jan Goossens,Pierre Pougin,Philippe Goffin,Sophie Wilmès,Jacques Hogard,Takouba,REP,colonel Hogard,Patrice Fonlladosa,Kader Abderrahim,Khalifa Haftar,el-Sarraj,Aguila Salah Issa,Benjamin Blanchard,Président turc,Recep Tayyip Erdogan,Assia Bakir,Kadhafi,Kira,Trump,Erdogan,Hakim Boughrara,Clément Nguyen,Tim Rademacher,Hogard,Edward Gallagher,Gallagher,Andrea,Président algérien,Bassem Loukil,Boris Johnson,Afrikajom,Djamila Ferdiani,Président Issoufou,Mohammed Merah,Rougier,Borkane,Sira Sylla,Ahmed,Mohamed Fadel,Tarik Hafid,Nathalie Yamb,Joachim Son-Forget,Thalès,Nina Tapsoba,Yaya Sangare,Paul Kananura,Hama Ag Sid’Ahmed:,Moussa Marega,Marega,Fabrice Bamouni,Siaka Coulibaly,Modibo Sidibé,Amani Toumani Touré,Amadou Koufa,Toumani Djimé Diallo,Dominique Trinquand,Président malien,Pascal Boniface,Kako Nubukpo,Abdel Fattah al-Sissi,Abdelkader Abderrahmane,al-Sissi,Président Abdel Fattah al-Sissi,Maurice Freund,Thomas Sankara,Ibrahim Boubacar Keita,Brice Hortefeux,Nasser Bourita,Ismail Ould Cheikh Ahmed,Sadou Yehia,Faso Dan Fani,Erwann Bouvier,Me Cissé,Macky,Dr Dièye,Khalifa Sall,Président Sall,M.Boukadoum,Yvan Issekin,Mossadeck Bally,Koalaga Oumarou,Idelette BissuuManifestants,Idelette BissuuManifestations,Me Charles Tchoungang,Premier ministre maliens,Président français,August,Président Mohamed Ould Ghazouani,Aziz,Keïta,Idelette BissuBamako,Ouattara-Macron,Demba Moussa Dembélé,Henri Louis Ngantcha,Auréole,Assimi Goita,Zine Cherfaoui,Cherfaoui,Bréma Ely Dicko,Bokassa,Charles Onana,Jean Bedel,VGE,Roger Delpey,Jacques Foccart,Gaulle,Amadou Toumani Touré,Ahmadou Ahidjo,Haya Sanogo,Gnassingbé,Jean-Louis Lognon,Fabien,Hélène Nguyen Cissé,Hélène Nguyen,Me Hélène Nguyen Cissé,Me Hélène Nguyen,Djalil Lounas,Président ivoirien,Hamed Bakayoko,Mikhaïl Bogdanov,Saad Dine El Otmani,Qassem Soleimani,George Floyd,Afro-Américain,Mohamed SalahaLe,Ibrahim Keïta,Akylbek,Sooronbay Jeenbekov,Francois Mori,Valery HacheLe,Joe KlamarLe,Viktor Tolochko,Alexandre Loukachenko,Brigitte Kafui Adjamagbo-Johnson,Gérard Djossou,Joseph Koba,Germain Dodor,général Lecointre,Caroline Roussy,Général Yark,Alain Roch Ossoro,Radhi Ben Hassine,Mohammed Bouazizi,Mouammar Kadhafi,Gamal NomanParticipante,Valeriy Melnikov,Andrei Stenin,Christophe EnaLe Président tunisien,Zine el-Abidine Ben Ali,Président tunisien,Président Hosni Moubarak,Nasser NasserLe,Président yéménite,Ali Abdullah Saleh,Ghaith OmranEn,Ahmed MohammedVoiture,Khalid MohammedÀ,Hasan JamaliManifestants,Achilleas ZavallisHomme,Rodrigo AbdLa Libye,Fabrice Epelboin,Quentin Pauchet,Kebir Mahamat Abdoulaye,Président Bah Ndaw,Moktar Ouane,Polanski,Ladj Ly,Aïssa Maïga,Césars,Hervé Le Bras,Peuls,Dan Na,Dandjinou,David Stanley,CC BY,Leslie Varenne,Mamadou Koulibaly,Lider,Président Alassane Ouattara,Innocent Gnelbin,Bruno Le Maire,Henri Sterdyniak,Bouteflika,Bakary Sambe,Alioune Nouhoum Diallo,Marc Conruyt,général Conruyt,Abdelmalek Droukdal,Charles Blé Goudé,Tinzaouatine,Ikhraben,Pierrette Herzberger-Fofana,Manon Aubry,Charlotte Libog,Titus,Konstrukta,Xavier Moreau,Moustapha Guirassy,Aminetou Bilal,Dennis Gyllensporre,Bou Touré,Abdelmalek Droudkel,Ahmedou Ould Abdallah,Mostafa Belkhayate,Mostafa BelkhayateCours,Cheick,Oumar Sissoko,Choguel Kokalla Maïga,Président syrien,Salif Keita,Yannick Jadot,M.Jadot,M.Sassoli,Mahamat Saleh,Mahamat Saleh Annadif,Mme Parly,M. Sall,Matignon,Philippe,Président mauritanien,Tine,Alioune,Mankeur Ndiaye,Mankeur,François-Philippe Champagne,Trudeau,Chrystia Freeland,vice-Premier,Mme Freeland,Alexis Corbière,Nicolas Sarkozy,Ibrahim Boubakar Keïta,Omar Bendjelloun,Nabil Adel,Yehia Ag,Mohamed Ali,Yehia Ag Mohamed Ali,M. Keïta,Alghabass Ag Intalla,Martin Ziguélé,Michel Djotodia,Ali Darassa,Marie Roger Biloa,Louis Keumayou,Dame Babou,Coumba Sylla,Christian Abégan,Coumba SyllaChristian Abégan,Laurent Damiens,Laetitia Gaborit,milk powder,Satan,Harouna Sankaré,Rockefeller,Alexandre Assafov,Sheriff Sy,Paul Oumarou Koalaga,Oumarou,Mahamat Nouri,Déby,Abou Obeida Youssef al-Annabi,Abou Bakr al-Baghdadi,Khaled Ziari,Niagalé Bagayoko,Jean-Pierre Baptiste,Marie Sarr,Coura Soumaré,Ibrahim Maïga,Nouhoum Togo,Biram Dah Abeid,Sidi Mohamed Ould Boubacar,Mohamed Ould Ghazouani,Bakary Domingo Mané,Ibrahima Sangho,Aly Dia,Abdoulaye Balde,M.Balde,Laurent Fabius,Alain Juppé,Henri de Raincourt,Moussa Faki,Raoul Sumo Tayo,Raoul Sumo,Alain Antil,Gilles Le Guen,Marie Cervetti,Menadefense,Linda Kebbab,Jean-Yves le Drian,Antoine Somdah,Hirak,M. Macron,Ali,Moreau,Sarkozy,Tiémoko Meyliet Koné,Adama Wade,Ghislaine Alajouanine,Télémédecine,Dr Sayavé Gnoumou,Roch Kaboré,Abdoullah Coulibaly,Sylvain NGuessan,Président Emmanuel Macron,Président Macron,Président Kaïs Saïed,Général,Julie Chanson,Steven Vandeput,Antoine Glaser,Sylvia Apata,Saïd Chengriha,Julien Mattia,Christophe Castaner,Rugy,Tewfik Hamel,Lionel Guérin,Philippe Micouleau,Roch KABORE,Roukiatou Djinko,Janine Kacou Diagou,Roukiatou,Roland Klohi,Khaza Kakry,DJ Arafat,Arafat,Tchélé KOBRES,Kofi Olomidé,Fally Ipupa,Davido,Maurice Bandama,Steven Anderson,Evgueni Primakov,Poutine,Président russe,Richard Labévière,Khady Bakayoko,Rolland Berger,Housseyne Ag Issa,Housseyne Ag,Al Qaeda,Roch Marc Christian Kaboré,Idriss Deby,Ahmedou ould Abdallah,Roland KlohiSarah,Sarah Traboulsi,Seedballs Kenya,Blaise Compaoré,Christophe Dabiré,Président Roch Kaboré,Président Blaise Compaoré,Achille,Président Blaise,Marouane Jebbar,Amadou Haya Sanogo,Cheick Mohamed Chérif Koné,Sanogo,Me Moctar Mariko,Dioncounda Traoré,Ibrahim Dahirou Dembélé,Me Mariam Diawara,Séga Diarrah,Roch-Marc Christian Kaboré,Angela Merkel,Président burkinabé,Assane Diagne,Ghislaine Dupont,Ahmed Hussein,Brahim Oumansour,Rachid Nekkaz,M. Idriss Déby,Acheikh Ibn,Président Déby Itno,Miski,Del Pilar Rangel Rojas,Juan Guaido,Maduro,Richard Walker,Stéphane Dion,Freeland,François,Thomas Dietrich,Kim Darroch,Stéphane Gompertz,Eric Fournier,Gompertz,Nathalie Loiseau,Marine Le Pen,général Haftar,Javelin,Ousmane Tanor Dieng,Coumba SyllaUne,Sadio Mané,Coumba SyllaUn,Coumba SyllaUn Dakarois,Coumba SyllaDes,Ousmane,Ousmane Traoré,Ousmane Makaveli,Félicitations,Fatou,Al Hassan Ag Abdoul Aziz Ag Mohamed Ag Mahmoud,Bensouda,Founè Samaké Bouaré,Al Hassan,Ahmad Al Faqi Al Mahdi,Aliou Mahamane Touré,Coumba SyllaAdama,Adama Coulibaly,Abdoul Salam Bello,Fatoumata Maïga,Bintou Founè Samaké Bouaré,Saran Keïta Diakité,Keïta Diakité,Mohsen Aïfa,M. Cissé,Boubou Cissé,Antonio Guterres,Karfa Sira Diallo,Tidiane N'Diaye,Penda Mbow,Mme Mbow,Cheikh Béthio Thioune,M. Thioune,Me Dieng,Mamadou Diouara,Pierre Thiam© Sputnik,Evan Sung Pierre Thiam,Pierre Thiam,Antoine Payan,Evan Sung,Alex Jordanov,Squarcini,François Lecointre,Tiken Jah Fakoly,Aboubacar,Kwame Nkrumah,OCHA,Adam Thiam,Dan Na Ambassagou,Abdoulaye Gaba,Moussa Moriba Diakité,Gonogo Fidèle Guirou,Michel Sidibé,Hamadou Konaté,Moussa Touré,Premier ministre malien,Muller Tenkeu,Tenkeu,Muller,Dan Fani,Nadège Balima,Président Teodoro Obiang,Richard Makon,Mathias Eric Owona Nguini,Kathleen Bickford,Mansa,Mansa Moussa,Cheikh Fall,Noureddine Bedoui,Khadija Benhamou,Sergueï Lavrov,Lavrov,Bachar,Khemaïes Jhinaoui,Naoufal Bouamri,Martin Fayulu,Jean Ping,Ping,Omar Bongo,Jammeh,Khemaies Jhinaoui,M.Kacimi,Clémenceau,Janek SkarzynskiJeanine Antoinette Hennis-Plasschaert,Jeanine Antoinette Hennis-Plasschaert,John ThysMargarita Robles,Margarita Robles,Felipe VI,Mimi Kodheli,Jim WatsonRadmila Šekerinska,Radmila Šekerinska,James Mattis,Maria Dolores,María Dolores de Cospedal,Ine Marie Eriksen,Christophe EnaMichèle Alliot-Marie,Michèle Alliot-Marie,von der Leyen,Mme von der Leyen,Ernst Albrecht,Ludwig Knoop,Ursula von der Leyen,Vlasta Parkanová,Indira Gandhi,Nirmala Sitharaman,Shinzo Abe,Yuriko,Yuriko Koike,Malick Niasse,Président Faure Gnassingbé,David Dosseh,Nathaniel Olympio,Jean-Pierre Lacroix,Robert Dussey,Bernard Émié,Alain Rodier,Jérôme Pigné,Okdiario,Président Tebboune,Cemoc,prochain Président,Claude Biao,Mahamadou Sawadogo,Laurent Michon,Assimi Goïta,Gosiame Thamara Sithole,Gosiame,Thamara Sithole,Tsotetsi,Teboho Tsotetsi,Halima Cissé,Mohamed el Maouloud Ramdane,Georges Kuzmanovic,Sahéliens,général Trinquand,Sylvain N'Guessan,Sergueï Choïgou,Kamal Louadj,Farid Benyahia,Laurence Rossignol,Dr Hamlaoui,Dr Sidaoui,Riadh Sidaoui,Tebboune,Inoussa Kafando,Christopher Leggett,Abou Obeida Youssef el-Annabi,Akram Kharief,M. Maïga,Séga,Brahim Ghali,Président Ghali,Antony Blinken,Gerd Müller,Merkel,Jean-Luc Mélenchon,Soulaimane Cheikh Hamdi,M.Hamdi,Wagner,Ndongo Samba Sylla,Dmitri Peskov,Abdou Abarry,Ahmed Mizab,Abdoulaye Diop,Oumarou Mobo Modhi,Sahel?Robert,Sylvain N’Guessan,Chérif Dris,Cheikh Wade,bissau-guinéen,Président Umaru Sissoco Embalo,Barka Bâ,Adama Barrow,Barrow,Yahya Jammeh,M. Mardini,Mme Pétronin,M.Lavrov,Mackinder,Sébastien Chadaud-Pétronin,Dr Doumbia,Fousseyni Doumbia,Taser,M.Tebboune,Benjamin Stora,Désiré Jean Claude Owono,Adrien Poussou,Zineb Benzita,Aleksandar Vucic,Aristophane Ngargoune,Hervé Ahouantchédé,Seif al-Islam,Younes Belfellah,Abdel Hamid Dbeibah,Félix Nialbé,Mahamat Idriss Déby,Nialbé,Dupuy,Sidaoui,Ramtane #Lamamra,Xavier Bertrand,Hissène,Habré,Hissène Habré,Goukouni Oueddei,Pinochet,Idriss Déby Itno,Dr Kinda,Mme Zakharova,Jean-Marc Blasco,Maxime,Abdoulaye Barry,Ousmane Diallo,Adnan Abou Walid al Sahraoui,Evgueni Prigojine,Bernard Lugan,Olivier Salgado,Cheikh Hamdi,Henry Kissinger,Pen,Ibrahim Maalouf,Adnane Abou Walid al-Sahraoui,Djallil Lounnas,Olivier Crone,Oubi Bouchraya Bachir,Yves de Mbella,Marthe Faré,Mehdi Lahlou,Lahlou,Ronald Reagan,Issoufou Yahaya,Choguël Maïga,Maxime Blasco,Blasco,Doumbouya,Président Condé,Alseny Thiam,Lydie Beassemda,Succès Masra,Aliou Bah,Mme Gonzalez Laya,David Beriain,Roberto Fraile,Diarrassouba Sindou,Sidi Brahim Ould Sidati,Mohamed El Maouloud Ramadan,Agnès Callamard,Jean Castex,Larbi Chérif,Mahamat Déby Itno,Dr. Cheikh Lo Fall,Mohamed Laïchoubi,M.Laïchoubi,Commandant Soussou Sama,Sotouboua,Hippolyte Éric Djounguep,Mahamat Déby,maréchal tchadien,Faure,Jean-Christophe Bas,Soufi,Ramadan,Adam Rabati,Farah Belkaid,Ahmed Al Motamassik,Anasth Wilfried Mbossa,José Nawej,Tatiana Koukhareva,Okba Ibn Nafâa,Abdelbaki Bouziane,Aouf Abou Mouhajir,Dr Soufi,Georges Kokou,M. Kokou,Premier ministre Moctar Ouane,Mahaloudou Savadogo,Dr Sylvain Nguessan,Sylvain Nguessan,Olivier Dubois,Gerry Taama,Louis Saillans,Daw,Nadya Suleman,Mourad Yazid,M.Sarkozy,Vador,François-Bernard Huyghe,Assa Traoré,Adama,Adama Traoré,Rokhaya Diallo,Soumana Boura,Moussa Aksar,Président serbe,El Ghassim Wane,Roselyne Bachelot,Alexandre Ivanov,Sangaris,Alexandre Ivanov© Photo,Cherif Zene,Dr Cheikh Hamdi,Président Saïed,Milley,Piotr Ilitchev,Mbaye Sylla Khouma,Eric Zemmour,Mamadi Doumbouya,M.Ivanov,Moulaye Hassane,Taha Bouhafs,Soros,M.Dupuy,Bertrand Vilmer,Didier Raoult,Président Bazoum,Kheïreddine Zetchi,Abdeslam Ouaddou,Djamel Belmadi,Ould Souleymane,Ornella Moderan,Jean-Sébastien Josset,Loïc Risser,Tchoma Bangou,Zaroumadareye,Abdelmadjid Attar,Naoufel Brahimi El Mili,Brahimi El Mili,Président Patrice Talon,Président Talon,Wilfrid Ahouansou,Malika Bouchenak Boudalia,Albert Einstein,Einstein,Marie Curie,John Kirby,Roland,Pr Lahlou,Djemal,Dr Daouda Kinda,Zoheir Bouamama,Lamamra,Zouheir Bouamama,Abdelaziz
0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,2.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
