,Names,Values
366,dietrich,6
367,darroch,2
368,gompertz,5
369,fournier,2
370,loiseau,2
371,pen,9
372,javelin,2
373,syllaune,4
374,dakarois,3
375,syllades,2
376,makaveli,2
377,felicitations,2
378,fatou,3
379,bensouda,2
380,mahdi,5
381,syllaadama,2
382,bello,5
383,mbow,2
384,sputnik,6
385,thiam,10
386,payan,2
387,sung,3
388,squarcini,2
389,fakoly,5
390,nkrumah,2
391,ambassagou,2
392,guirou,2
393,tenkeu,5
394,muller,12
395,balima,3
396,obiang,2
397,nguini,3
398,bickford,2
399,bedoui,2
400,benhamou,2
401,lavrov,30
402,bachar,2
403,jhinaoui,4
404,bouamri,2
405,fayulu,2
406,jammeh,14
407,clemenceau,2
408,hennisplasschaert,2
409,kodheli,4
410,sekerinska,2
411,dolores,2
412,cospedal,2
413,eriksen,2
414,alliotmarie,4
415,leyen,6
416,albrecht,2
417,knoop,2
418,parkanova,2
419,gandhi,2
420,sitharaman,2
421,dosseh,25
422,olympio,5
423,lacroix,2
424,pigne,2
425,okdiario,2
426,cemoc,2
427,sawadogo,7
428,sithole,5
429,gosiame,3
430,tsotetsi,2
431,kuzmanovic,3
432,saheliens,2
433,choigou,2
434,louadj,121
435,benyahia,5
436,rossignol,2
437,hamlaoui,4
438,sidaoui,12
439,kafando,3
440,leggett,2
441,kharief,2
442,sega,2
443,blinken,4
444,melenchon,5
445,peskov,2
446,abarry,3
447,mizab,6
448,modhi,2
449,sahelrobert,2
450,bissauguineen,3
451,embalo,2
452,barrow,4
453,mardini,2
454,mackinder,4
455,chadaudpetronin,3
456,doumbia,2
457,owono,2
458,poussou,3
459,benzita,3
460,vucic,8
461,ngargoune,3
462,ahouantchede,4
463,alislam,2
464,belfellah,3
465,dbeibah,2
466,nialbe,3
467,bertrand,3
468,oueddei,2
469,pinochet,3
470,kinda,7
471,zakharova,2
472,blasco,8
473,maxime,3
474,sahraoui,12
475,prigojine,3
476,lugan,2
477,salgado,6
478,kissinger,2
479,maalouf,2
480,lahlou,8
481,reagan,2
482,yahaya,2
483,doumbouya,5
484,beassemda,4
485,beriain,2
486,fraile,2
487,sindou,2
488,callamard,3
489,castex,2
490,laichoubi,5
491,mlaichoubi,3
492,sotouboua,2
493,djounguep,3
494,rabati,2
495,belkaid,3
496,motamassik,2
497,mbossa,2
498,nawej,2
499,koukhareva,2
500,nafaa,6
501,bouziane,2
502,mouhajir,2
503,kokou,3
504,dubois,2
505,taama,8
506,saillans,7
507,suleman,3
508,huyghe,5
509,bachelot,3
510,ivanov,26
