,Unnamed: 0,macron,kebbab,barkhane,sarkozy,soral,hollande,poutine,valls,trump,erdogan,ahmadou,omar,marianne,bigot,kadhafi,washington,bathily,coulibaly,kacimi,foucher,couriol,lugan,bouhafs,michel,keita,ghali,assa,traore,adama,koufa,droukdal,floyd,louis,brakni,emie,beghal,lecointre,huyghe,hitler,kersten,francis,habib,ihuellou,fenech,zuckerberg,wagner,maiga,berry,nuland,ryabkov,wyke,sinclair,fleck,cattigan,itno,deby
26,assa,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,2,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,traore,6,0,2,0,8,0,4,3,2,5,2,4,3,2,0,0,0,0,12,3,0,0,2,4,0,2,4,24,5,0,0,2,0,4,1,4,2,1,1,0,0,7,2,2,0,3,2,0,0,0,4,6,6,2,2,0
28,adama,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,koufa,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
30,droukdal,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,floyd,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,louis,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,brakni,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,emie,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,2,0,1,0,0,2,2,2,0,0,0
35,beghal,4,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,1,2,0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,4,4,2,2,0
36,lecointre,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
37,huyghe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,hitler,0,0,1,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,2,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0
39,kersten,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,francis,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,habib,2,0,0,0,1,0,0,1,0,1,0,2,2,1,0,0,0,0,3,1,0,0,0,2,0,2,0,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,1,1,0,0,0,1,2,2,1,1,0
42,ihuellou,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,fenech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,zuckerberg,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,wagner,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
46,maiga,2,0,1,0,1,0,1,1,0,1,0,1,1,2,0,1,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,2,1,1,0
47,berry,0,0,0,0,1,2,0,0,4,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
48,nuland,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0
49,ryabkov,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
50,wyke,2,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,6,6,1,1,0
51,sinclair,4,0,0,0,2,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,4,0,2,0,6,0,0,0,0,0,0,2,4,0,0,2,0,0,2,0,0,0,0,2,0,0,0,6,4,8,2,2,0
52,fleck,4,0,0,0,2,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,4,0,2,0,6,0,0,0,0,0,0,2,4,0,0,2,0,0,2,0,0,0,0,2,0,0,0,6,8,4,2,2,0
53,cattigan,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,0,1,0
54,itno,2,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,1,2,4
55,deby,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
