,Names,Values
376,cornutgentille,2
377,neandertal,2
378,baupin,18
379,duflot,4
380,plenel,10
381,arfi,5
382,godechot,4
383,banerjee,2
384,levavasseur,26
385,ciotti,21
386,erlanger,2
387,abalos,2
388,vanat,4
389,sarkozy,17
390,fher,10
391,amadou,4
392,hildegarde,2
393,sowmadio,2
394,lasfar,11
395,lacapelle,5
396,hrw,2
397,garrido,10
398,dettinger,2
399,dreyfusarmand,2
400,birnbaum,2
401,keller,35
402,marianne,48
403,larsonneur,2
404,ludosky,2
405,saleh,45
406,gasparotti,4
407,kullas,4
408,vacaba,6
409,clement,5
410,fasquelle,2
411,salome,2
412,hollande,54
413,godwin,19
414,kawthar,2
415,bourget,8
416,albanna,8
417,mahmoud,9
418,denormandie,5
419,kpatinde,2
420,loomis,14
421,mathonier,3
422,coulibaly,4
423,castaignede,2
424,goudineau,3
425,estrosi,18
426,thomson,13
427,petitcolin,4
428,chloe,2
429,petit,22
430,shahinyan,6
431,maurel,49
432,maduro,2
433,lemennicier,2
434,seba,19
435,neckartailfingen,2
436,buisine,18
437,gastaut,2
438,rodrigues,10
439,jaune,26
440,dieudonne,8
441,viennot,2
442,wissal,12
443,binoche,4
444,klapisch,2
445,piketty,2
446,malherbe,2
447,denisart,2
448,perrault,3
449,bolsonaro,9
450,tina,16
451,nemmouche,2
452,laquay,2
453,mehdi,13
454,blanchard,7
455,jophiel,2
456,noel,27
457,matignon,2
458,muselier,18
459,thooris,2
460,daoud,8
461,brown,4
462,morandini,5
463,bilal,10
464,mellouki,2
465,skarlatos,2
466,stone,6
467,verdez,5
468,kepel,11
469,javid,6
470,legrain,4
471,jouanno,2
472,chaker,17
473,besancenot,6
474,giros,20
475,priscilla,2
476,pascouau,2
477,quatremer,4
478,nebenzia,2
479,heusgen,2
480,wagner,13
481,guaido,3
482,monsieur,2
483,samedi,18
484,lautner,2
485,mouraud,3
486,pavlenski,15
487,chaliguina,2
488,kouachi,4
489,medouni,5
490,ghosn,5
491,etchegaray,2
492,bintou,4
493,acteviii,6
494,griveaux,10
495,montchalin,2
496,alimi,24
497,benbassa,2
498,bockel,3
499,agacinski,2
500,monicault,2
501,ruggia,11
502,obule,3
503,alhusseini,3
504,amelle,6
505,ciprian,4
506,benzema,20
507,valbuena,5
508,jelassi,3
509,annesophie,2
510,maychou,2
511,jeannot,4
512,chatelain,5
513,delevoye,13
514,fedasil,2
515,kourak,2
516,neusa,2
517,lignier,2
518,etchepare,2
519,barres,13
520,joly,9
521,asrat,9
522,bouhafs,45
523,grzybowski,8
524,preau,7
525,keita,4
526,liscia,2
527,stephane,10
528,raison,18
529,exupery,2
530,saintemarie,2
531,youcef,14
532,nunez,8
533,jourdain,4
534,mucchielli,8
535,baharizadeh,2
536,mahjoubi,2
537,rebsamen,2
538,cissoko,2
539,marsigny,3
540,kriket,10
541,schwarzer,3
542,esclaire,2
543,ouali,26
544,shalmani,2
545,atrassi,2
546,izambard,2
547,radford,2
548,correia,6
549,dio,13
550,chalencon,13
551,guenif,2
552,reboul,2
553,aboulhana,2
554,weillraynal,4
555,harpon,38
556,toussaint,7
557,lallement,8
558,perdriau,4
559,raslan,2
560,odoul,9
561,francheschi,2
562,negathe,2
563,stoichkov,2
564,pradal,2
565,clerc,4
566,fontenay,8
567,voltaire,5
568,laurent,20
569,pasqua,2
570,hervouet,3
571,desmurget,2
572,bloomberg,2
573,anthony,4
574,brice,23
575,raguenel,6
576,mickael,6
577,matsumoto,3
578,gonot,6
579,kiechel,2
580,chatellier,4
581,bogdan,3
582,debest,2
583,foiraison,3
584,tolkien,3
585,georges,2
586,ichimori,2
587,ikuo,4
588,andrei,2
589,benomar,5
590,razida,2
591,myriam,5
592,newsguard,3
593,campbell,4
594,bokassa,4
595,kouchner,5
596,khezami,2
597,messieurs,3
598,mesdames,8
599,vetrano,16
600,simonhody,2
601,bouamama,6
602,delphy,4
603,zouggagh,2
604,gravel,2
605,canico,2
606,heredia,2
607,haddad,26
608,fennecs,2
609,nathalie,6
610,georgelin,2
611,rachel,12
612,sansal,18
613,zapata,2
614,ouraghi,2
615,dalancon,2
616,bergeon,3
617,djetcha,5
618,bahman,4
619,rykart,2
620,serville,2
621,fofana,4
622,august,15
623,bouhlel,2
624,lestrade,2
625,mossiere,6
626,falconnet,2
627,epstein,6
628,florent,4
629,dounia,4
630,penaruiz,4
631,schneckenburger,2
632,quoirin,2
633,morrison,2
634,guyane,2
635,forestier,3
636,haider,2
637,alpha,5
638,quatennens,4
639,lakel,21
640,boisvert,2
641,jesus,11
642,nancy,5
643,rylewski,2
644,crespomara,2
645,toumazoff,2
646,molotov,2
647,botino,2
648,tardieu,4
649,buccio,6
650,bernie,29
651,saldanacazenave,2
652,briois,44
653,paumard,4
654,renan,11
655,croizat,5
656,lamour,2
657,retailleau,4
658,spiegel,3
659,alesina,2
660,mathieu,5
661,fuchs,2
662,badiou,20
663,greenacrescom,2
664,fontaine,10
665,fanon,18
666,kalila,8
667,bruno,2
668,saintnicolas,2
669,fouettard,2
670,saint,7
671,wotan,8
672,sebastien,2
673,christ,18
674,therese,2
675,beigbeder,4
676,esbrayat,2
677,bercoff,3
678,sabatier,2
679,onfray,26
680,union,2
681,olivennes,3
682,villiers,14
683,hanotin,4
684,gerbeau,6
685,berrebouh,7
686,grosdidier,4
687,antonin,9
688,breton,2
689,castex,32
690,sacko,18
691,chevalier,9
692,eustachebrinio,9
693,antastesia,2
694,stern,4
695,rittenhouse,4
696,chisholm,3
697,kapenga,2
698,kulich,4
699,floyd,10
700,darmanin,150
701,trudeau,17
702,legault,8
703,silene,2
704,domergue,3
705,portefaix,2
706,llosa,2
707,sulzer,2
708,baszczak,2
709,loukachenko,10
710,eismont,2
711,poutine,8
712,viginum,4
713,johansson,9
714,trochu,2
715,cambadelis,2
716,soudron,3
717,quenault,5
718,cremer,3
719,polexit,2
720,djedou,2
721,vayia,4
722,pernoo,9
723,abdeslam,29
724,abaaoud,9
725,kinzler,17
726,chopin,2
727,malinowski,5
728,dorleans,2
729,darrieussecq,6
730,peltier,8
731,raspail,9
732,christophe,2
733,diyawadana,3
734,prophete,12
735,alqaradawi,8
736,femyso,17
737,mahomet,74
738,vidino,6
739,qutb,8
740,alrawi,2
741,elzayat,2
742,khomeini,4
743,suleimani,6
744,pargeter,2
745,durrani,3
746,halawa,3
747,morsi,5
748,abdoun,4
749,benlatreche,5
750,mayerrossignol,5
751,mcwhorter,2
752,ferreira,2
753,maalouf,10
754,othmani,3
755,fegaier,8
756,facealinfo,25
757,hurmic,6
758,alvarez,2
759,meurant,4
760,benayoum,4
761,limol,5
762,raissouni,2
763,volocopter,6
764,khattabi,2
765,ventura,4
766,souiki,2
767,nedelec,2
768,leveque,5
769,stefanini,13
770,sindayigaya,2
771,laura,33
772,adams,5
773,cheong,6
774,bobic,2
775,biden,34
776,taubira,7
777,lang,24
778,dolto,4
779,consolat,2
780,yseult,8
781,mondoloni,4
782,marcone,2
783,ollivier,2
784,micheline,4
785,fogiel,2
786,blinken,2
787,drucker,9
788,hossam,3
789,youssoupha,12
790,sejourne,6
791,anzorov,16
792,gagnoud,2
793,rottner,6
794,leonelli,2
795,mbappe,7
796,deschamps,16
797,barseghian,5
798,gadaev,2
799,orlov,4
800,nguessan,6
801,lafont,4
802,turner,6
803,boleyn,6
804,bertrand,23
805,clayton,2
806,peker,13
807,redouane,3
808,hadjira,3
809,charmatz,2
810,tirole,3
811,makeieff,2
812,nyssen,2
813,yuksel,2
814,abrial,6
815,bollore,3
816,devillers,2
817,bellemare,2
818,amraoui,11
819,felizia,3
820,durkheim,2
821,colsa,3
822,klcarsan,2
823,gormez,2
824,karalliu,2
825,deupen,3
826,fejzulai,2
827,nehammer,9
828,pregermcgillivray,2
829,gaulle,16
830,zemmourzemmourpresident,4
831,azoulay,9
832,tribalat,3
833,mignot,15
834,coulmont,5
835,yanis,5
836,ardisson,2
837,lisnard,7
838,tafallari,3
839,nobili,4
840,isis,6
841,devecchio,2
842,micheron,8
843,cassier,4
844,boeri,9
845,molinari,2
846,molina,10
847,demougeot,4
848,sefrioui,21
849,msefrioui,2
850,drillon,12
851,richard,8
852,marchadour,2
853,peyrefitte,4
854,moussaoui,7
855,jonathan,2
856,debatdeladroite,2
857,acheson,2
858,henry,10
859,briend,2
860,general,4
861,mihoub,2
862,carrimbacus,2
863,arnolfini,2
864,nessrine,4
865,nemesis,6
866,bouteldja,6
867,fontenelle,3
868,tissot,3
869,boussoumah,2
870,chouder,2
871,cyran,2
872,deltombe,2
873,gafsia,2
874,tbaili,4
875,tevanian,2
876,petronin,35
877,dupondmoretti,6
878,schinas,2
879,guinel,5
880,diarra,14
881,holbein,3
882,demeestere,2
883,recteur,4
884,guillaume,7
885,koffler,2
886,fiad,4
887,zemmourbordeaux,4
888,ouassak,2
889,montebourg,4
890,rizvi,4
891,rashid,2
892,rudder,2
893,pluspourlesfrancais,2
894,kadhafi,2
895,cauchy,2
896,konig,14
897,julien,7
898,cedric,10
899,lefeuvre,6
900,cardinal,2
901,gorsky,11
902,vilks,2
903,gurnah,4
904,vallancien,2
905,poutou,5
906,chnina,17
907,zemmourzemmourduhamel,2
908,sarrot,22
909,wespiser,5
910,tebboune,15
911,roussel,16
912,ijaz,2
913,hacene,2
914,bornstein,3
915,zemmourrouen,2
916,zerouati,4
917,luciani,3
918,parmentier,3
919,akrout,5
920,covax,3
921,pannierrunacher,2
922,quelin,2
923,monferme,5
924,cherine,21
925,kibble,3
926,trippenbach,2
927,zemmourbeziers,2
928,zemmourcorse,2
929,ivanna,3
930,trautmann,2
931,jiminez,3
932,lemaire,30
933,arosteguy,3
934,nasereddine,5
935,fournier,2
936,governatori,2
937,florian,8
938,hambli,4
939,razafimahatratra,2
940,manogil,5
941,zemmourthinkerview,7
942,alzheimer,2
943,blanchet,3
944,nantes,5
945,clovis,5
946,neiman,4
947,saintremi,2
948,noiriel,3
949,lienemann,3
950,pulvar,17
951,scheidel,4
952,moussa,4
953,lozes,5
954,coqueryvidrovitch,2
955,jeannine,2
956,schwochow,4
957,ebner,2
958,taguieff,2
959,ducarme,3
960,reinette,5
961,cgtg,5
962,achille,2
963,talib,5
964,meflah,2
965,lalanne,2
966,chambaz,2
967,gemenne,4
968,dornellas,5
969,khemilat,4
970,gensac,2
971,wallen,4
972,mccourt,2
973,manteghetti,2
974,catanzaro,3
975,termine,2
976,copperfield,2
977,nowak,2
978,dansereau,2
979,sandrine,19
980,espinat,4
981,gendron,5
982,yuriy,23
983,kruchenyk,3
984,nataliya,2
985,ribault,4
986,kardashian,4
987,thomas,9
988,koc,6
989,saintouen,2
990,lecornu,2
991,shaheen,4
992,gentric,2
993,boughedir,3
994,mebarek,2
995,sylvain,5
996,sainteloi,2
997,mujahid,2
998,hussein,6
999,abdelaziz,5
1000,ousmane,3
1001,benderdouch,2
1002,fatima,4
1003,pianegonda,2
1004,tovo,9
1005,philp,4
1006,hejazipour,3
1007,achour,2
1008,kassovitz,2
1009,naceri,2
1010,dramane,2
1011,marteau,6
1012,estanguet,2
1013,drago,4
1014,madjid,6
1015,portes,2
1016,cebille,2
1017,bendjebbour,3
1018,bghouia,2
1019,belliard,3
1020,thot,2
1021,gassama,4
1022,abayisenga,7
1023,montfortains,2
1024,christina,6
1025,foucault,6
1026,pujadas,2
1027,ernotte,5
1028,remadna,2
1029,mirzali,3
1030,henniche,2
1031,barberis,4
1032,sofiane,4
1033,edouard,3
1034,horvilleur,2
1035,ziaten,2
1036,tengour,2
1037,markle,2
1038,lacoste,4
1039,vicomte,2
1040,figaro,2
1041,fraisse,2
1042,balzac,3
1043,lenoir,2
1044,karoui,6
1045,mayanda,2
1046,corbaux,2
1047,malory,5
1048,jenifer,2
1049,hallyday,2
1050,mandroux,3
1051,lorcerie,5
1052,haaland,3
1053,khaiat,2
1054,laferriere,4
1055,moriarty,2
1056,cummins,3
1057,cruz,2
1058,sultan,2
1059,biguinet,2
1060,monguillot,9
