,Loc,Value,ISO-3
0,Centrafrique,778,CAF
1,Mali,3807,MLI
2,Liban,1091,LBN
3,Israël,3039,ISR
4,Égypte,291,EGY
5,Ghana,179,GHA
6,Sénégal,607,SEN
7,Guinée,240,GIN
8,Turquie,1085,TUR
9,Russie,3766,RUS
10,Niger,1002,NER
11,Nigeria,239,NGA
12,Rwanda,74,RWA
13,Pakistan,48,PAK
14,États-Unis,5945,USA
15,Mozambique,420,MOZ
16,Soudan,506,SDN
17,Iran,5670,IRN
18,Burundi,285,BDI
19,Syrie,2186,SYR
20,Burkina Faso,839,BFA
21,Serbie,23,SRB
22,Éthiopie,1118,ETH
23,Chine,1871,CHN
24,Palestine,122,PSE
25,Norvège,60,NOR
26,Etats-Unis,167,USA
27,Pologne,186,POL
28,Tchad,567,TCD
29,Ukraine,394,UKR
30,Indonésie,15,IDN
31,Cameroun,976,CMR
32,Madagascar,93,MDG
33,Maroc,684,MAR
34,Japon,86,JPN
35,Royaume-Uni,319,GBR
36,Taïwan,80,TWN
37,Érythrée,108,ERI
38,Bulgarie,19,BGR
39,Afghanistan,413,AFG
40,Congo,37,COG
41,Libye,708,LBY
42,Yémen,456,YEM
43,Irak,799,IRQ
44,Australie,201,AUS
45,Portugal,36,PRT
46,Algérie,1335,DZA
47,Egypte,34,EGY
48,Mauritanie,97,MRT
49,Tunisie,369,TUN
50,Bénin,280,BEN
51,Libéria,7,LBR
52,Liberia,7,LBR
53,Somalie,209,SOM
54,Ouzbékistan,29,UZB
55,Guinée-Bissau,17,GNB
56,Gabon,287,GAB
57,Tadjikistan,42,TJK
58,Haïti,44,HTI
59,Inde,167,IND
60,Angola,19,AGO
61,Roumanie,14,ROU
62,Suisse,86,CHE
63,Cuba,59,CUB
64,Gambie,28,GMB
65,Turkménistan,9,TKM
66,Venezuela,299,VEN
67,Azerbaïdjan,72,AZE
68,Arménie,74,ARM
69,Nigéria,93,NGA
70,Lituanie,12,LTU
71,Italie,160,ITA
72,Pays-Bas,30,NLD
73,Togo,37,TGO
74,Vietnam,21,VNM
75,Cambodge,2,KHM
76,Ouganda,100,UGA
77,Salvador,8,SLV
78,Canada,88,CAN
79,Géorgie,42,GEO
80,Suède,46,SWE
81,Belgique,62,BEL
82,Espagne,41,ESP
83,Croatie,12,HRV
84,Chypre,65,CYP
85,Grèce,175,GRC
86,Erythrée,2,ERI
87,Djibouti,283,DJI
88,Lettonie,11,LVA
89,Kirghizistan,12,KGZ
90,Tanzanie,52,TZA
91,Nouvelle-Zélande,15,NZL
92,Pérou,2,PER
93,Qatar,61,QAT
94,Bahreïn,29,BHR
95,Luxembourg,6,LUX
96,Finlande,17,FIN
97,Jordanie,44,JOR
98,Koweït,13,KWT
99,Mexique,19,MEX
100,Philippines,16,PHL
101,Danemark,70,DNK
102,Kenya,149,KEN
103,Slovénie,2,SVN
104,Zimbabwe,66,ZWE
105,Seychelles,2,SYC
106,Autriche,9,AUT
107,Oman,9,OMN
108,Argentine,11,ARG
109,Brésil,38,BRA
110,Guatemala,3,GTM
111,Hongrie,32,HUN
112,Slovaquie,2,SVK
113,Nicaragua,7,NIC
114,Panama,2,PAN
115,Chili,3,CHL
116,Tonga,3,TON
117,Singapour,7,SGP
118,Colombie,8,COL
119,Kosovo,8,XKX
120,Kazakhstan,4,KAZ
121,Kénya,5,KEN
122,Irlande,9,IRL
123,Botswana,5,BWA
124,Taiwan,3,TWN
125,Zambie,21,ZMB
126,soudan,2,SDN
127,Ethiopie,4,ETH
128,BURUNDI,2,BDI
129,Bolivie,16,BOL
