	roch kabore	alassane ouattara	emmanuel macron	linda kebbab	michael shurkin	barkhane	lelievre	alain barriere	nick conrad	pierre soulages	claudine	macron	nicolas sarkozy	alain soral	francois hollande	vladimir poutine	xi jinping	manuel valls	donald trump	trump	erdogan	president	dan fodio	seku ahmadou	el hadj omar	pelloux	guillaume bigot	abou bakr albaghdadi	washington	edouard philippe	lassana bathily	amedy coulibaly	coulibaly	president de la republique	hacene kacimi	laurent foucher	claude gueant	noor capital	olivier couriol	mitterrand	foucher	jeanluc schaffhauser	roland dumas	raymond cartier	bernard lugan	alqaeda	taha bouhafs	charles michel	jacques attali	ibrahim boubacar keita	premier ministre	boubou cisse	iyad ag ghali	mahmoud dicko	arie alimi	adama traore	assa traore	adnane abou walid alsaharaoui	amadou koufa	abdelmalek droukdal	eric zemmour	george floyd	president trump	simon louvet	thomas joly	abdelmalek	youcef brakni	houria bouteldja	oussama atar	hippolyte flandrin	abubakar shekau	muhammadu buhari	nicolas lerner	djamel beghal	general lecointre	hamane niang	francoisbernard huyghe	jeanluc melenchon	cesars	gisele halimi	benjamin stora	vincent dautry	francis	meyer habib	kobili traore	anne ihuellou	georges fenech	hermine de clermonttonnerre	mark zuckerberg	ba ag moussa	choguel maiga	sebastien thoen	richard berry	pascale louange	alexandre kouchner	mouammar kadhafi	patrick mbeko	victoria nuland	m ryabkov	mme nuland	administratsiya prezidenta	steve bannon	david cameron	choguel kokalla maiga	reportnews	charlie wyke	matt le tissier	trevor sinclair	john fleck	m sinclair	carl ikeme	adham al seldhar	romina de angelis	lara gut behrami	dave draper	siobhan cattigan	fatimah shabazz	darvin henderson	tony ayres	pasierbski	kenny liveze	paul dimattina	leon taylor	terrafirma	cristian sportolloni	rene richard	cameron indoor	jordan bardella	paul bensussan	monsieur traore	daniel zagury	idriss deby itno	azem bermandoa agouna	mahamat idriss deby itno
president	5	5	8	5	5	137	72	5	5	5	19	75	14	7	8	12	7	7	10	5	0	8	4	4	4	0	4	4	9	4	4	9	0	6	14	4	4	4	4	10	5	4	4	4	13	5	6	4	4	4	6	4	15	4	6	26	0	6	6	8	6	17	0	4	4	4	6	4	4	4	4	4	0	4	5	5	5	5	0	0	5	5	0	6	6	5	0	5	6	5	5	5	5	5	5	6	6	6	0	5	6	6	6	8	5	5	5	5	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	0	6	16	8	8
dan fodio	2	2	2	2	2	36	16	2	2	2	5	21	3	2	2	2	2	2	2	1	0	4	0	5	5	0	2	2	2	2	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
seku ahmadou	2	2	3	2	2	41	17	2	2	2	6	21	3	2	2	2	2	2	2	1	0	4	5	0	8	0	3	3	3	5	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
el hadj omar	2	2	3	2	2	41	17	2	2	2	6	21	3	2	2	2	2	2	2	1	0	4	5	8	0	0	3	3	3	5	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
pelloux	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guillaume bigot	2	2	5	2	2	38	17	2	2	2	6	18	3	2	2	2	2	2	2	1	0	4	2	3	3	0	0	3	3	3	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
abou bakr albaghdadi	2	2	3	2	2	40	17	2	2	2	6	18	3	2	2	2	2	2	2	1	0	4	2	3	3	0	3	0	5	3	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
washington	2	2	5	2	2	62	24	2	2	2	7	26	5	2	2	6	2	2	4	2	0	9	2	3	3	0	3	5	0	3	2	4	0	4	5	2	2	2	2	5	2	2	2	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	3	3	2	2	0	0	2	2	0	2	2	2	0	2	3	2	2	2	2	2	2	3	3	3	0	2	3	3	3	5	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
edouard philippe	2	2	3	2	2	38	17	2	2	2	6	18	3	2	2	2	2	2	2	1	0	4	2	5	5	0	3	3	3	0	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
lassana bathily	2	2	2	2	2	36	16	2	2	2	5	18	3	2	5	2	2	5	2	1	0	4	2	2	2	0	2	2	2	2	0	10	0	5	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
amedy coulibaly	4	4	5	4	4	81	37	4	4	4	12	39	10	4	11	4	4	10	4	2	0	9	4	4	4	0	4	4	4	4	10	10	0	10	9	4	4	4	4	6	2	4	4	3	9	2	3	3	3	3	3	3	6	3	2	10	0	3	3	3	3	8	0	3	3	3	3	3	3	3	3	3	0	6	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
coulibaly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
president de la republique	2	2	6	2	2	51	23	2	2	2	6	24	4	2	5	3	2	5	3	2	0	6	2	2	2	0	2	2	4	2	5	10	0	0	5	2	2	2	2	4	2	2	2	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	3	3	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
hacene kacimi	4	4	6	4	4	111	68	4	4	4	20	57	9	4	5	5	4	4	5	7	0	14	4	4	4	0	4	4	5	4	4	9	0	5	6	4	4	4	4	8	4	4	4	4	9	4	5	4	4	4	5	4	12	4	4	25	0	5	5	6	5	14	0	4	4	4	5	4	4	4	4	4	0	4	4	4	5	5	0	0	7	7	0	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	8	4	4
laurent foucher	2	2	2	2	2	33	16	2	2	2	5	21	3	2	2	2	2	2	2	1	0	4	2	2	2	0	2	2	2	2	2	4	0	2	4	0	5	5	5	6	1	5	5	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
