	roch kabore	alassane ouattara	emmanuel macron	linda kebbab	michael shurkin	barkhane	lelievre	alain barriere	nick conrad	pierre soulages	claudine	macron	nicolas sarkozy	alain soral	francois hollande	vladimir poutine	xi jinping	manuel valls	donald trump	trump	erdogan	president	dan fodio	seku ahmadou	el hadj omar	pelloux	guillaume bigot	abou bakr albaghdadi	washington	edouard philippe	lassana bathily	amedy coulibaly	coulibaly	president de la republique	hacene kacimi	laurent foucher	claude gueant	noor capital	olivier couriol	mitterrand	foucher	jeanluc schaffhauser	roland dumas	raymond cartier	bernard lugan	alqaeda	taha bouhafs	charles michel	jacques attali	ibrahim boubacar keita	premier ministre	boubou cisse	iyad ag ghali	mahmoud dicko	arie alimi	adama traore	assa traore	adnane abou walid alsaharaoui	amadou koufa	abdelmalek droukdal	eric zemmour	george floyd	president trump	simon louvet	thomas joly	abdelmalek	youcef brakni	houria bouteldja	oussama atar	hippolyte flandrin	abubakar shekau	muhammadu buhari	nicolas lerner	djamel beghal	general lecointre	hamane niang	francoisbernard huyghe	jeanluc melenchon	cesars	gisele halimi	benjamin stora	vincent dautry	francis	meyer habib	kobili traore	anne ihuellou	georges fenech	hermine de clermonttonnerre	mark zuckerberg	ba ag moussa	choguel maiga	sebastien thoen	richard berry	pascale louange	alexandre kouchner	mouammar kadhafi	patrick mbeko	victoria nuland	m ryabkov	mme nuland	administratsiya prezidenta	steve bannon	david cameron	choguel kokalla maiga	reportnews	charlie wyke	matt le tissier	trevor sinclair	john fleck	m sinclair	carl ikeme	adham al seldhar	romina de angelis	lara gut behrami	dave draper	siobhan cattigan	fatimah shabazz	darvin henderson	tony ayres	pasierbski	kenny liveze	paul dimattina	leon taylor	terrafirma	cristian sportolloni	rene richard	cameron indoor	jordan bardella	paul bensussan	monsieur traore	daniel zagury	idriss deby itno	azem bermandoa agouna	mahamat idriss deby itno
taha bouhafs	1	1	3	1	1	42	26	1	1	1	8	25	4	1	2	2	1	1	2	2	0	6	1	1	1	0	1	1	2	1	1	3	0	2	5	1	1	1	1	3	2	1	1	3	6	2	0	2	2	2	3	2	7	2	2	16	0	2	2	3	2	6	0	2	2	2	6	2	2	2	2	2	0	2	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
charles michel	1	1	2	1	1	31	19	1	1	1	6	16	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	0	5	2	2	2	4	2	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
jacques attali	1	1	2	1	1	31	19	1	1	1	6	16	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	5	0	2	2	2	4	2	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
ibrahim boubacar keita	1	1	2	1	1	28	22	1	1	1	6	17	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	0	5	5	5	3	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
premier ministre	1	1	3	1	1	49	29	1	1	1	7	23	4	1	2	2	1	1	2	2	0	6	1	1	1	0	1	1	2	1	1	3	0	2	5	1	1	1	1	3	2	1	1	2	5	2	3	2	2	5	0	5	7	3	2	10	0	2	2	3	2	6	0	2	2	2	3	2	2	2	2	2	0	2	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	5	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
boubou cisse	1	1	2	1	1	28	22	1	1	1	6	17	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	5	5	0	5	3	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
iyad ag ghali	2	2	7	2	2	106	64	2	2	2	17	63	8	2	5	4	2	2	4	4	0	15	2	2	2	0	2	2	4	2	2	6	0	4	12	2	2	2	2	6	5	2	2	4	10	5	7	4	4	5	7	5	0	7	4	31	0	8	8	12	7	18	0	4	4	7	8	5	5	4	4	4	0	4	4	4	4	4	0	0	4	4	0	4	4	4	0	4	5	6	4	4	4	4	4	4	4	4	0	6	4	4	4	4	6	6	6	6	6	0	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	0	4	8	4	4
mahmoud dicko	1	1	2	1	1	28	20	1	1	1	6	19	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	3	3	3	7	0	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
arie alimi	1	1	2	1	1	47	25	1	1	1	5	20	3	1	1	2	1	1	2	2	0	6	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	4	2	2	1	1	1	2	1	4	1	0	16	0	1	1	2	1	7	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	8	5	5	0	5	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	5	0	5	6	3	3
adama traore	4	4	11	4	4	211	116	4	4	4	28	102	14	4	7	8	4	4	9	9	0	26	4	4	4	0	4	4	8	4	4	10	0	8	25	4	4	4	4	12	12	4	4	6	17	12	16	6	6	6	10	6	31	6	16	34	0	9	9	13	9	29	0	6	6	7	19	9	7	6	6	6	0	6	8	8	11	9	0	0	9	9	0	14	11	11	0	11	8	8	8	9	9	9	9	8	8	8	0	11	8	8	8	8	11	11	11	13	13	0	11	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	0	11	18	9	9
assa traore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adnane abou walid alsaharaoui	1	1	2	1	1	34	25	1	1	1	8	21	3	1	2	1	1	1	1	1	0	6	1	1	1	0	1	1	1	1	1	3	0	1	5	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	8	2	1	9	0	0	5	5	4	9	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
amadou koufa	1	1	2	1	1	34	25	1	1	1	8	21	3	1	2	1	1	1	1	1	0	6	1	1	1	0	1	1	1	1	1	3	0	1	5	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	8	2	1	9	0	5	0	5	4	9	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
abdelmalek droukdal	1	1	3	1	1	50	32	1	1	1	9	27	4	1	2	2	1	1	2	2	0	8	1	1	1	0	1	1	2	1	1	3	0	2	6	1	1	1	1	3	2	1	1	2	5	2	3	2	2	2	3	2	12	2	2	13	0	5	5	0	4	10	0	2	2	2	3	2	2	2	2	2	0	2	2	2	2	2	0	0	2	2	0	2	2	2	0	2	3	4	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
eric zemmour	1	1	2	1	1	34	25	1	1	1	8	21	3	1	2	1	1	1	1	1	0	6	1	1	1	0	1	1	1	1	1	3	0	1	5	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	7	2	1	9	0	4	4	4	0	9	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
george floyd	3	3	6	3	3	107	71	3	3	3	21	61	9	3	5	4	3	3	4	4	0	17	3	3	3	0	3	3	4	3	3	8	0	4	14	3	3	3	3	7	4	3	3	5	11	4	6	5	5	5	6	5	18	5	7	29	0	9	9	10	9	12	0	5	5	5	6	5	5	5	5	5	0	5	4	4	4	4	0	0	4	4	0	7	4	7	0	7	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	8	4	4
president trump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
simon louvet	1	1	2	1	1	28	23	1	1	1	6	16	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	4	2	1	6	0	2	2	2	2	5	0	0	5	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
thomas joly	1	1	2	1	1	28	23	1	1	1	6	16	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	4	2	1	6	0	2	2	2	2	5	0	5	0	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
abdelmalek	1	1	3	1	1	31	19	1	1	1	6	19	3	1	3	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	7	2	1	7	0	2	2	2	2	5	0	2	2	0	3	3	3	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
youcef brakni	1	1	4	1	1	49	26	1	1	1	7	26	4	1	3	2	1	1	2	2	0	6	1	1	1	0	1	1	2	1	1	3	0	2	5	1	1	1	1	3	2	1	1	2	5	2	6	2	2	2	3	2	8	2	2	19	0	2	2	3	2	6	0	2	2	3	0	5	3	2	2	2	0	2	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
houria bouteldja	1	1	3	1	1	35	19	1	1	1	6	17	3	1	3	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	5	2	1	9	0	2	2	2	2	5	0	2	2	3	5	0	3	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
oussama atar	1	1	5	1	1	33	19	1	1	1	6	17	3	1	5	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	5	2	1	7	0	2	2	2	2	5	0	2	2	3	3	3	0	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
hippolyte flandrin	1	1	2	1	1	28	19	1	1	1	6	16	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	4	2	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	0	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
abubakar shekau	1	1	2	1	1	28	19	1	1	1	6	16	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	4	2	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	2	0	5	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
muhammadu buhari	1	1	2	1	1	28	19	1	1	1	6	16	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	2	4	1	2	2	2	2	2	2	4	2	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	2	5	0	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
nicolas lerner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
djamel beghal	1	1	2	1	1	31	19	1	1	1	6	16	6	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	6	0	1	4	1	1	1	1	2	1	1	1	2	7	1	2	2	2	2	2	2	4	2	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	2	2	2	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
general lecointre	1	1	5	1	1	37	21	1	1	1	5	19	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	3	1	1	2	0	3	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	0	3	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
hamane niang	1	1	3	1	1	39	21	1	1	1	5	19	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	3	1	1	2	0	3	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	3	0	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
francoisbernard huyghe	1	1	2	1	1	38	24	1	1	1	6	20	3	1	1	2	1	1	2	3	0	5	1	1	1	0	1	1	2	1	1	2	0	2	5	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	0	3	0	0	3	3	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
jeanluc melenchon	1	1	2	1	1	40	24	1	1	1	6	22	3	1	1	2	1	1	2	3	0	5	1	1	1	0	1	1	2	1	1	2	0	2	5	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	9	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	3	0	0	0	3	3	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
cesars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gisele halimi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
benjamin stora	1	1	2	1	1	40	30	1	1	1	8	20	3	1	1	2	1	1	2	5	0	5	1	1	1	0	1	1	2	1	1	2	0	2	7	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	9	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	3	3	0	0	0	5	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
vincent dautry	1	1	2	1	1	40	30	1	1	1	8	20	3	1	1	2	1	1	2	5	0	5	1	1	1	0	1	1	2	1	1	2	0	2	7	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	9	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	3	3	0	0	5	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
francis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meyer habib	1	1	2	1	1	45	25	1	1	1	5	20	3	1	1	2	1	1	2	2	0	6	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	4	2	2	1	1	1	2	1	4	1	8	14	0	1	1	2	1	7	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	0	5	5	0	5	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	5	0	5	6	3	3
kobili traore	1	1	2	1	1	42	25	1	1	1	5	20	3	1	1	2	1	1	2	2	0	6	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	4	2	2	1	1	1	2	1	4	1	5	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	5	0	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	5	0	5	6	3	3
anne ihuellou	1	1	2	1	1	39	21	1	1	1	5	19	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	5	11	0	1	1	2	1	7	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	5	2	0	0	5	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
georges fenech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hermine de clermonttonnerre	1	1	2	1	1	39	21	1	1	1	5	19	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	5	11	0	1	1	2	1	7	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	5	2	5	0	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
mark zuckerberg	1	1	2	1	1	44	21	1	1	1	5	21	4	1	1	3	1	1	5	2	0	6	1	1	1	0	1	1	3	1	1	2	0	2	4	1	1	1	1	4	2	1	1	1	3	2	2	1	1	1	2	1	5	1	2	8	0	1	1	3	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	0	3	2	2	2	2	2	3	3	3	0	2	3	5	5	3	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
ba ag moussa	1	1	2	1	1	38	21	1	1	1	5	19	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	6	1	2	8	0	1	1	4	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	3	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
choguel maiga	1	1	2	1	1	43	21	1	1	1	5	19	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	5	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
sebastien thoen	1	1	2	1	1	37	24	1	1	1	5	19	3	1	1	2	1	1	5	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	9	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	0	5	5	5	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
richard berry	1	1	2	1	1	37	24	1	1	1	5	19	3	1	1	2	1	1	5	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	9	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	5	0	5	5	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
